Field,Career,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications,part_time_job,absence_days,weekly_self_study_hours
Finance,Landscape Architect,2.937337403191888,0,2,2,1,0,1,0,0,4,4,0,2,2,1,0,0,0
Education,Financial Advisor,2.575535487313698,7,2,0,1,2,1,3,3,4,4,2,0,4,0,0,0,0
Psychology,Physician Assistant,3.828403034043177,0,0,3,0,2,1,0,1,2,0,1,3,0,0,0,0,0
Law,Forensic Psychologist,2.9920622200850726,7,0,2,1,3,1,3,4,3,3,0,3,3,1,0,0,0
Education,Curriculum Developer,2.511824599838946,7,0,1,1,5,1,3,3,2,4,1,1,2,0,0,0,0
Chemistry,Inorganic Chemist,4.344523675895847,0,1,3,1,9,0,1,4,4,0,2,3,1,1,0,0,0
Physics,AI Researcher,3.906185315577471,0,0,2,0,7,0,2,1,4,3,1,0,3,0,0,0,0
Art,Financial Advisor,3.02601054797408,0,1,3,1,9,0,1,1,4,4,0,3,3,0,0,0,0
Marketing,Psychologist,3.739594567061112,3,2,0,1,7,0,2,0,4,0,1,0,4,0,0,0,0
Medicine,Cybersecurity Analyst,3.2578855322889435,5,0,4,0,1,1,1,3,1,2,2,0,4,0,0,0,0
Psychology,Psychologist,4.455116252560357,5,1,3,0,7,1,1,1,1,1,2,2,2,1,0,0,0
Law,Industrial-Organizational Psychologist,4.669420949814125,2,2,4,0,1,0,3,4,2,3,0,0,1,1,0,0,0
Biology,Accountant,3.973450244397176,7,2,1,1,4,1,4,4,2,0,2,1,1,0,0,0,0
Psychology,Architect,4.2010404491063404,2,1,0,0,5,0,4,1,2,3,2,4,1,1,0,0,0
Medicine,Digital Marketing Specialist,2.7115201207416098,5,1,0,0,5,1,4,0,0,1,0,0,0,0,0,0,0
Education,Graphic Designer,2.914495061131026,2,0,0,1,4,0,2,1,2,4,2,2,4,0,0,0,0
Finance,Architectural Technologist,2.6203398850953947,6,2,4,0,1,0,1,2,0,1,3,2,3,1,0,0,0
Engineering,Aerospace Engineer,4.703496262432697,3,1,3,1,8,0,1,0,0,3,4,0,3,1,0,0,0
Business,Data Scientist,4.5429084587669,3,2,3,0,6,1,3,3,4,1,0,3,2,0,0,0,0
Art,Acoustics Specialist,4.393702677107023,0,0,2,1,7,1,1,0,2,1,1,2,0,1,0,0,0
Engineering,Construction Manager,3.346532197023659,0,0,2,0,7,0,3,1,4,0,1,2,3,0,0,0,0
Music,Doctor,4.923891806825883,8,2,3,1,5,0,1,2,1,0,1,1,3,1,0,0,0
Education,Inorganic Chemist,2.5958210775896524,6,0,3,1,1,1,3,0,1,1,2,1,1,0,0,0,0
Art,Biomedical Engineer,3.972482298087181,4,0,4,0,3,1,0,0,1,0,0,3,3,1,0,0,0
Music,Quantum Physicist,2.941775388956743,1,0,2,0,4,1,3,0,2,4,1,2,2,1,0,0,0
Computer Science,Paralegal,2.7312210785490447,6,1,1,1,0,0,3,4,4,0,3,4,2,0,0,0,0
Medicine,Marketing Manager,4.872507111730055,4,0,2,0,7,0,2,1,2,3,0,4,0,0,0,0,0
Chemistry,Inorganic Chemist,3.904989671144024,0,1,4,1,9,0,3,4,3,2,2,1,2,0,0,0,0
Psychology,Sound Engineer,3.333010186112458,8,0,2,0,1,1,1,2,3,1,4,3,3,1,0,0,0
Law,Physician Assistant,3.98029655703041,7,0,2,1,3,0,0,3,4,2,1,4,3,1,0,0,0
Music,AI Researcher,4.764128518247135,8,2,2,0,1,1,2,1,1,3,0,3,0,0,0,0,0
Marketing,Education Administrator,3.761972557199229,2,2,2,1,7,1,1,3,4,4,3,3,0,1,0,0,0
Marketing,Art Director,3.906473423032039,8,0,1,0,4,1,0,1,1,0,2,1,2,0,0,0,0
Psychology,Artist,3.947110394847004,3,2,3,1,1,1,1,0,1,4,3,3,1,0,0,0,0
Finance,Credit Analyst,3.307863300731173,6,2,3,0,3,0,4,4,4,1,2,0,0,0,0,0,0
Computer Science,Biochemist,4.1291711093271815,9,0,3,1,2,0,4,4,1,2,2,0,1,1,0,0,0
Architecture,Data Scientist,3.634676809733045,0,1,1,0,3,1,2,0,4,2,1,2,2,0,0,0,0
Engineering,Manager,4.940370216268419,8,0,0,0,9,0,2,1,0,1,4,3,1,0,0,0,0
Education,Acoustics Specialist,2.631316312430138,8,2,4,1,1,1,0,0,1,2,0,4,2,0,0,0,0
Law,Financial Analyst,3.690502195580098,9,0,0,1,0,0,3,1,0,4,3,0,3,1,0,0,0
Art,Legal Consultant,4.377193899771748,4,1,3,1,5,0,3,0,2,2,4,3,2,1,0,0,0
Law,Landscape Architect,3.103720907206285,2,0,1,0,6,1,4,3,1,2,4,2,4,1,0,0,0
Engineering,Conductor,2.8561172938412422,1,2,2,1,3,0,4,3,1,0,1,1,0,1,0,0,0
Chemistry,Web Developer,4.740955246370017,1,1,0,0,9,0,4,3,1,2,1,3,1,0,0,0,0
Art,School Counselor,3.1359795067346226,8,0,0,1,7,0,4,3,0,3,3,1,2,1,0,0,0
Psychology,Legal Secretary,4.1915466305326845,7,1,4,1,4,1,0,0,2,4,1,3,2,0,0,0,0
Medicine,AI Researcher,4.086679952485604,0,1,2,0,9,1,1,1,4,2,4,2,2,1,0,0,0
Music,Interior Designer,3.1325254494595605,6,0,0,0,4,1,2,4,3,4,2,1,1,1,0,0,0
Business,Principal,3.374038566533702,7,0,3,1,3,0,4,4,4,0,0,1,4,1,0,0,0
Art,Human Resources Specialist,4.3333299513450445,1,2,1,0,8,0,0,4,4,2,0,0,0,1,0,0,0
Education,Chemical Engineer,4.674670755735481,5,1,1,0,3,1,0,0,3,2,0,3,2,1,0,0,0
Computer Science,Architectural Technologist,4.14589555519949,2,2,4,0,8,1,3,0,4,2,1,3,4,0,0,0,0
Chemistry,Chemical Engineer,4.375324628043055,9,2,0,0,7,1,0,1,0,0,2,1,3,0,0,0,0
Law,Human Resources Specialist,4.9231639135717735,7,0,1,0,7,0,3,0,3,2,0,1,2,1,0,0,0
Business,Microbiologist,4.3487024749315975,2,0,0,0,2,0,4,0,0,1,4,3,1,0,0,0,0
Physics,Web Developer,3.59153889562661,6,2,4,1,7,0,1,2,0,2,2,1,3,1,0,0,0
Education,Accountant,2.6938021897043747,5,2,4,0,4,0,3,3,2,1,0,0,1,1,0,0,0
Biology,Architect,4.689725507778634,4,1,2,0,4,0,4,1,3,4,3,1,3,1,0,0,0
Biology,Music Teacher,4.236771937948658,5,1,2,0,0,1,3,2,1,3,2,0,2,1,0,0,0
Psychology,Principal,3.223461341041056,4,2,4,1,4,0,4,3,4,4,1,1,1,1,0,0,0
Finance,Industrial-Organizational Psychologist,3.104752779144902,2,0,2,1,8,1,1,4,2,4,0,3,4,0,0,0,0
Biology,Urban Planner,3.055056523262677,5,1,0,0,7,0,3,1,4,3,4,0,3,1,0,0,0
Business,Legal Consultant,4.261700139685079,3,0,2,0,0,1,2,2,4,3,4,1,4,0,0,0,0
Marketing,Animator,3.4213837874446207,4,0,3,1,4,1,1,4,2,1,0,0,2,1,0,0,0
Biology,Principal,4.839637965734379,8,1,1,1,2,1,0,0,4,3,0,2,0,0,0,0,0
Engineering,Digital Marketing Specialist,3.8725196808892046,4,0,1,0,8,1,2,4,0,2,3,2,0,1,0,0,0
Education,Chemist,2.8428976943721964,5,1,2,1,7,0,0,4,4,4,2,4,4,0,0,0,0
Physics,Game Developer,4.156831227605535,0,2,4,1,0,1,0,1,4,2,4,0,2,1,0,0,0
Law,Illustrator,4.08805903936796,6,1,0,0,7,0,3,1,2,3,0,1,3,0,0,0,0
Business,Psychologist,2.908937124666094,3,1,4,0,7,0,2,0,0,0,0,0,0,1,0,0,0
Marketing,Brand Manager,3.4292719295116205,3,1,2,1,0,0,2,4,2,1,3,4,3,0,0,0,0
Marketing,Forensic Psychologist,3.1208573380365614,0,2,1,1,3,1,4,4,4,4,4,0,1,0,0,0,0
Biology,Software Developer,3.163447673790984,7,2,2,0,0,0,0,2,4,2,4,4,1,0,0,0,0
Engineering,Art Director,3.4618067811067945,8,2,2,1,8,0,3,0,3,3,0,2,0,0,0,0,0
Biology,Credit Analyst,4.174881989168326,7,2,1,0,5,0,2,2,1,1,4,3,0,1,0,0,0
Architecture,Architect,4.596018464467825,6,1,2,0,4,0,2,3,3,1,4,1,4,0,0,0,0
Law,Principal,4.414468924544666,0,0,2,1,1,1,1,0,4,0,4,3,1,0,0,0,0
Business,Urban Planner,2.7856793723113045,4,1,2,0,1,1,4,4,3,2,1,2,0,0,0,0,0
Finance,Surgeon,3.299030813277454,1,2,1,0,5,1,2,3,1,1,4,1,0,1,0,0,0
Architecture,Counselor,4.657381064015192,9,1,1,1,2,1,1,1,0,4,4,3,4,1,0,0,0
Biology,Physical Chemist,3.573782063633931,0,0,3,0,6,0,3,2,2,4,0,0,4,1,0,0,0
Education,Architect,3.5423113455321875,4,2,2,1,1,0,0,0,3,1,0,1,0,1,0,0,0
Physics,Principal,3.832576361228043,7,1,4,1,5,0,4,4,0,4,2,4,2,1,0,0,0
Law,Analytical Chemist,4.017535236746459,4,0,2,1,8,1,2,2,4,3,1,4,0,1,0,0,0
Finance,Cybersecurity Analyst,4.442867362751757,4,0,4,0,4,1,1,4,4,3,1,4,4,0,0,0,0
Medicine,Architect,4.610211307524214,0,2,2,1,7,1,2,0,3,1,0,4,2,1,0,0,0
Education,Clinical Psychologist,4.797793716162213,7,1,4,0,2,1,0,1,0,4,3,2,0,1,0,0,0
Biology,Data Scientist,3.4577142885838184,8,1,0,1,8,0,2,1,1,0,2,3,3,1,0,0,0
Law,Composer,4.007630960919885,2,1,0,1,5,1,0,1,2,1,0,3,1,0,0,0,0
Art,Surgeon,2.779036861294984,2,1,1,1,5,0,4,1,3,1,4,1,2,0,0,0,0
Chemistry,Credit Analyst,3.725191045900511,0,1,0,0,0,0,1,1,3,2,1,2,1,0,0,0,0
Medicine,Architectural Technologist,2.761786924108472,4,2,0,0,8,1,0,0,3,0,0,1,0,1,0,0,0
Physics,Musician,4.747765201610683,3,0,2,0,4,0,3,0,2,3,1,1,4,0,0,0,0
Biology,Digital Marketing Specialist,2.710099430179324,1,0,2,0,1,1,4,0,2,0,4,2,3,1,0,0,0
Computer Science,Pharmacist,4.354340102404559,6,1,4,1,2,0,4,2,4,4,4,0,3,0,0,0,0
Finance,Brand Manager,3.2846253830164622,4,2,4,1,3,0,3,0,3,2,0,4,0,1,0,0,0
Computer Science,Forensic Psychologist,4.398214309279543,3,1,2,0,1,1,2,2,1,4,2,0,0,0,0,0,0
Physics,Paralegal,2.5278592838620693,0,2,1,0,4,1,2,3,3,1,3,2,0,1,0,0,0
Education,AI Researcher,3.5404443546852304,4,0,4,1,4,1,3,0,2,1,0,1,1,1,0,0,0
Finance,Nuclear Physicist,2.8660200022562545,7,1,0,1,5,0,2,3,4,0,4,0,3,0,0,0,0
Psychology,Education Administrator,4.39605876838166,5,0,2,1,0,0,4,1,0,0,0,1,1,0,0,0,0
Biology,Astronomer,2.6444823578665657,1,2,2,0,3,0,3,3,3,2,3,2,2,1,0,0,0
Education,Judge,4.188112288234676,8,1,1,1,8,0,1,1,0,4,3,0,2,1,0,0,0
Psychology,Art Therapist,3.998024682518506,1,2,2,0,9,1,4,4,0,0,0,3,1,0,0,0,0
Business,Chemical Engineer,3.035984186210957,6,0,4,1,3,0,2,3,4,0,1,1,4,1,0,0,0
Psychology,Biochemist,2.7839448775378632,8,1,0,0,2,0,2,0,3,1,4,0,2,0,0,0,0
Medicine,Accountant,3.90877561836218,8,0,1,1,5,1,4,2,0,1,0,3,1,0,0,0,0
Computer Science,Game Developer,2.9924279898247392,0,1,0,0,0,0,4,1,3,1,0,2,2,1,0,0,0
Finance,Biotechnologist,4.844512527439356,8,0,1,1,1,0,0,2,3,2,1,3,4,1,0,0,0
Chemistry,Astronomer,3.3379897550813515,5,2,4,1,6,0,4,3,4,0,2,1,0,1,0,0,0
Finance,Surgeon,2.783352900465069,2,0,3,1,3,1,2,3,0,0,2,2,4,1,0,0,0
Biology,Astronomer,2.622861281473437,9,1,4,1,1,1,0,1,4,4,3,4,0,1,0,0,0
Education,Construction Manager,2.781265882135779,2,2,3,1,3,1,3,0,0,1,3,1,0,0,0,0,0
Law,Cybersecurity Analyst,2.7654851729430865,9,0,4,0,7,0,0,1,2,1,4,1,3,1,0,0,0
Chemistry,Doctor,3.867606281858441,3,0,1,1,0,0,1,3,3,2,1,0,3,1,0,0,0
Medicine,Ecologist,4.83193846302337,9,1,3,0,4,0,1,2,0,4,4,1,2,0,0,0,0
Business,Legal Consultant,4.485336386279494,6,2,0,0,6,1,2,4,4,4,2,4,0,1,0,0,0
Art,Cybersecurity Analyst,4.043254358216744,6,2,0,1,8,1,1,4,3,0,4,4,3,1,0,0,0
Music,Zoologist,2.6781269720412384,1,0,0,0,4,1,1,1,3,3,3,1,2,1,0,0,0
Medicine,Clinical Psychologist,2.9082395736062203,8,0,3,0,7,0,1,3,2,4,1,3,0,0,0,0,0
Law,Nuclear Physicist,3.683956571798016,1,2,2,0,0,1,2,0,1,3,3,0,1,1,0,0,0
Medicine,Legal Consultant,4.926189013307624,2,2,1,1,7,0,2,2,1,0,1,3,1,0,0,0,0
Architecture,Financial Advisor,3.678626669736639,5,2,2,0,0,0,1,1,1,0,1,3,0,1,0,0,0
Engineering,Chemist,2.5716787805283543,7,1,1,0,8,0,2,4,4,0,2,4,1,1,0,0,0
Engineering,Fluid Mechanics Engineer,2.5771964819468334,5,0,0,1,4,1,2,3,1,2,0,3,0,0,0,0,0
Chemistry,Web Developer,4.437569977817091,8,0,0,1,0,0,1,4,2,3,1,4,4,1,0,0,0
Architecture,Biochemist,2.778560095451494,7,0,2,1,7,1,3,1,3,0,0,2,2,1,0,0,0
Chemistry,Quantum Physicist,2.915454744725909,0,0,0,1,3,0,3,2,3,4,2,3,1,0,0,0,0
Business,School Psychologist,2.69131863614963,4,2,1,0,4,0,4,2,2,4,1,4,3,1,0,0,0
Biology,Electrical Engineer,4.604851688139418,8,2,4,1,4,1,2,1,4,0,0,0,0,0,0,0,0
Law,Music Therapist,2.57138160202614,1,2,3,0,9,1,3,2,2,3,1,3,0,1,0,0,0
Biology,School Psychologist,3.682828466855909,4,2,1,0,7,0,4,2,2,1,0,1,1,0,0,0,0
Biology,Lawyer,3.0858621037530214,9,1,2,1,5,1,4,4,0,0,2,1,1,0,0,0,0
Art,Financial Analyst,3.125633021582566,0,0,2,0,9,1,2,3,1,1,0,0,0,1,0,0,0
Engineering,Urban Planner,2.5404646849453,2,1,1,0,0,0,0,4,1,3,2,1,2,1,0,0,0
Medicine,Marketing Manager,4.835258857420171,4,1,2,1,5,1,0,1,2,2,2,2,1,0,0,0,0
Chemistry,AI Researcher,4.314305622410641,2,1,2,1,0,1,4,3,4,3,1,2,2,1,0,0,0
Marketing,Entrepreneur,4.688822004631292,4,0,2,0,5,1,2,0,3,2,0,3,3,0,0,0,0
Architecture,Market Research Analyst,4.409721079038652,7,1,0,0,3,1,3,3,2,3,3,2,0,1,0,0,0
Physics,Microbiologist,2.9233296867146774,8,2,3,0,6,0,3,0,3,4,1,4,0,0,0,0,0
Art,Education Administrator,4.442024981962126,0,0,1,1,8,0,0,0,3,2,0,1,2,0,0,0,0
Medicine,Musician,4.168012041215073,5,2,3,0,2,1,1,4,0,1,2,1,3,1,0,0,0
Chemistry,Art Therapist,2.627122508290712,2,1,4,1,0,1,4,1,2,0,2,4,4,1,0,0,0
Education,Music Therapist,4.03782042271311,0,0,4,1,1,1,2,1,0,0,4,3,0,0,0,0,0
Chemistry,Investment Banker,3.0450895734179517,4,0,3,0,6,0,0,0,3,4,1,0,2,0,0,0,0
Computer Science,Manager,2.6276293794687624,1,0,3,0,9,1,0,4,3,1,3,3,2,0,0,0,0
Music,Artist,2.703851452403707,8,2,0,1,5,1,2,4,3,2,2,1,2,1,0,0,0
Music,Counselor,3.3359371697169804,3,1,0,0,0,0,0,3,0,2,4,4,0,1,0,0,0
Medicine,Sound Engineer,2.6787121711868043,1,0,1,0,0,1,0,1,1,4,3,2,0,1,0,0,0
Music,Teacher,2.9068073054625714,4,1,2,1,6,1,2,4,0,2,0,1,4,0,0,0,0
Medicine,Illustrator,2.825900133975352,2,2,4,0,6,0,2,3,0,3,3,4,0,0,0,0,0
Computer Science,Music Therapist,2.622637723229608,3,2,1,0,0,1,0,1,1,3,3,4,4,1,0,0,0
Engineering,Investment Banker,4.623611410316457,8,2,0,0,9,0,0,0,0,0,2,2,3,1,0,0,0
Engineering,Advertising Manager,3.4463225289492625,9,0,3,1,6,1,3,1,1,4,3,1,1,0,0,0,0
Art,Investment Banker,3.6929758724776423,6,0,3,0,1,1,4,3,4,1,4,3,3,0,0,0,0
Psychology,Acoustics Specialist,3.400247562278518,3,2,2,1,6,1,3,4,2,4,4,2,3,0,0,0,0
Architecture,Game Developer,2.9914636675825728,3,0,0,1,0,1,2,0,3,3,4,1,0,0,0,0,0
Law,Art Therapist,2.804661999062492,8,0,1,0,7,0,0,3,0,2,1,2,3,1,0,0,0
Art,Entrepreneur,4.5269297598206695,9,1,2,0,1,0,0,2,0,3,0,1,2,1,0,0,0
Biology,Graphic Designer,4.161023124539666,2,1,1,1,7,0,3,0,1,4,1,2,1,0,0,0,0
Physics,Brand Manager,3.170031722357096,4,1,4,0,4,0,3,2,0,3,3,2,3,0,0,0,0
Biology,Credit Analyst,2.770131550739889,9,1,4,0,9,0,4,4,4,1,2,3,1,1,0,0,0
Chemistry,School Counselor,3.0500964169670413,2,1,1,1,3,1,3,4,0,3,4,1,2,0,0,0,0
Architecture,School Psychologist,4.728465792188953,4,1,3,0,0,0,3,2,2,1,0,4,4,1,0,0,0
Physics,Digital Marketing Specialist,3.887401805150441,0,0,4,1,6,1,0,4,3,0,0,4,1,1,0,0,0
Computer Science,Biologist,3.08741692228316,1,0,0,0,9,0,3,1,2,0,0,0,2,1,0,0,0
Finance,Biotechnologist,4.975638099480433,0,0,0,0,0,0,0,1,4,0,0,2,0,0,0,0,0
Computer Science,Aerospace Engineer,4.67653939438553,4,0,3,0,6,0,4,1,1,3,1,0,0,1,0,0,0
Architecture,AI Researcher,4.001118177677161,0,0,1,0,8,0,2,0,3,1,3,3,0,1,0,0,0
Chemistry,School Counselor,3.524769765071881,9,2,1,1,8,0,3,0,3,1,3,3,4,1,0,0,0
Chemistry,Legal Consultant,3.262513662998927,4,1,1,1,6,1,2,2,1,1,0,2,3,1,0,0,0
Law,Quantum Physicist,3.71190706857937,5,0,3,1,1,1,4,3,2,3,1,1,0,0,0,0,0
Law,Biotechnologist,3.8047056319759616,7,2,0,1,6,0,4,2,2,1,0,3,1,1,0,0,0
Engineering,Brand Manager,2.725102260229672,7,0,3,0,0,1,3,0,1,3,1,4,3,1,0,0,0
Business,Cybersecurity Analyst,4.488318764775559,2,1,4,1,8,1,0,3,1,3,4,2,4,0,0,0,0
Business,Ecologist,3.127229057295807,9,2,0,1,1,0,1,0,3,1,1,3,2,1,0,0,0
Education,Architectural Technologist,3.419757765395264,1,0,3,1,9,1,4,3,3,3,2,0,0,1,0,0,0
Business,Financial Analyst,3.127728758692485,5,2,1,0,0,1,2,2,0,2,3,2,4,1,0,0,0
Music,Game Developer,2.7177472912971528,4,1,0,1,6,0,2,4,2,3,2,1,1,0,0,0,0
Law,School Counselor,4.837328887738797,2,1,0,1,5,1,0,2,2,2,2,2,4,0,0,0,0
Law,Mechanical Engineer,2.5025324336222434,9,1,0,1,3,1,1,1,4,2,1,2,3,0,0,0,0
Education,Art Therapist,2.736723536210897,2,0,4,0,8,1,3,0,1,3,1,1,2,0,0,0,0
Biology,Forensic Psychologist,3.4410688844722817,8,0,4,0,6,0,4,4,3,4,4,3,4,1,0,0,0
Engineering,Marketing Manager,3.810389310132556,0,2,4,1,7,1,0,3,1,4,3,4,4,0,0,0,0
Computer Science,Physical Chemist,3.4356870939174047,2,1,2,0,3,1,3,0,3,4,2,1,0,0,0,0,0
Engineering,Chemical Engineer,4.97267339604253,6,2,4,1,6,0,2,2,4,0,2,2,4,0,0,0,0
Physics,Paralegal,3.365074460408863,3,2,3,1,4,1,4,2,1,3,2,0,2,0,0,0,0
Chemistry,Marketing Manager,4.878915643015513,0,1,2,0,3,1,3,1,2,0,2,0,2,0,0,0,0
Marketing,Music Therapist,3.305978335400421,7,0,4,1,9,0,0,0,1,2,0,2,0,1,0,0,0
Biology,Curriculum Developer,4.006400185565216,5,2,0,1,8,1,0,3,4,4,4,3,3,1,0,0,0
Biology,School Psychologist,4.596094358889925,0,1,2,0,8,1,1,4,3,1,3,3,0,1,0,0,0
Medicine,Manager,3.5741798567577647,7,1,1,1,1,1,3,1,3,3,2,4,0,0,0,0,0
Computer Science,Teacher,4.262892730283696,1,0,4,1,9,1,1,1,2,3,1,2,4,1,0,0,0
Finance,Cybersecurity Analyst,4.796971934737545,3,1,1,1,7,1,4,3,0,3,2,2,1,0,0,0,0
Medicine,Composer,2.681702146786765,2,2,4,0,8,0,0,2,0,4,1,4,1,0,0,0,0
Biology,Graphic Designer,3.324701308274175,6,1,0,1,1,0,4,0,3,0,0,4,3,1,0,0,0
Computer Science,Advertising Manager,3.642272789144628,2,2,0,0,0,1,3,1,0,0,1,4,2,0,0,0,0
Law,Biotechnologist,2.5341117243376488,8,0,0,0,4,1,3,0,3,3,1,4,1,1,0,0,0
Music,Biochemist,4.716033052461078,1,1,1,0,9,1,1,1,1,4,1,2,4,0,0,0,0
Medicine,Software Developer,4.860463563862705,9,0,4,1,8,1,0,1,4,0,4,1,4,1,0,0,0
Education,Physical Chemist,4.478606322740145,6,2,0,0,0,1,3,3,0,4,3,4,2,1,0,0,0
Engineering,Mechanical Engineer,4.524656143015251,4,2,3,1,6,0,4,1,2,0,3,0,3,0,0,0,0
Law,Urban Planner,2.811385297608776,3,0,3,1,9,0,4,2,2,3,1,1,3,1,0,0,0
Art,Market Research Analyst,4.353747263251657,1,2,4,0,4,1,3,1,4,3,2,4,4,0,0,0,0
Education,AI Researcher,2.6667020504517858,6,2,2,0,5,1,0,4,2,3,1,1,1,0,0,0,0
Engineering,Doctor,3.8120140188279774,7,2,2,0,4,1,1,2,4,1,3,0,3,1,0,0,0
Architecture,Entrepreneur,4.538636353064421,6,1,2,1,4,0,4,1,3,2,4,0,4,0,0,0,0
Biology,Physical Chemist,3.2986611799845647,2,0,4,0,8,0,2,0,1,1,3,2,0,1,0,0,0
Physics,Biomedical Engineer,4.321977681451022,8,1,3,1,2,1,1,3,3,2,0,4,2,0,0,0,0
Education,Legal Secretary,3.5916616074199945,3,1,0,0,9,1,2,1,3,1,3,1,3,1,0,0,0
Physics,Judge,3.8082190742114186,5,2,1,1,9,0,2,2,1,1,0,2,4,0,0,0,0
Business,Principal,4.247922210000045,6,0,2,0,8,0,1,1,1,2,4,1,2,1,0,0,0
Psychology,Counselor,4.3011538216577145,9,1,0,1,1,0,2,1,0,3,1,1,1,0,0,0,0
Computer Science,Graphic Designer,2.5351529480638515,9,1,3,1,9,1,3,4,1,3,1,3,2,1,0,0,0
Law,Geneticist,2.6192774080773806,1,1,2,0,7,1,0,2,2,2,1,3,2,0,0,0,0
Medicine,Psychologist,4.550364327516876,8,1,3,1,9,1,0,2,0,4,4,0,0,1,0,0,0
Medicine,Curriculum Developer,4.18784055020104,3,2,1,1,8,0,0,2,0,4,1,0,3,0,0,0,0
Computer Science,Musician,2.7760514895619823,9,0,0,0,8,0,2,1,0,3,3,1,0,0,0,0,0
Law,School Counselor,4.078044504642016,7,2,4,0,5,0,1,4,1,0,3,2,3,1,0,0,0
Engineering,Architect,4.001110249803183,2,2,0,1,7,1,4,1,3,3,2,0,2,0,0,0,0
Architecture,Mechanical Engineer,2.6684324758696008,6,1,3,1,2,1,3,2,3,3,4,0,0,1,0,0,0
Finance,Advertising Manager,3.114988257715787,0,1,1,0,5,1,0,3,2,4,0,3,3,0,0,0,0
Marketing,Artist,4.025171021755094,2,2,4,1,1,0,0,1,2,2,2,3,3,1,0,0,0
Education,Quantum Physicist,4.403453179910224,5,2,4,0,9,1,4,0,1,1,0,4,0,1,0,0,0
Engineering,Social Media Manager,2.587981138447373,3,2,1,1,1,0,0,3,0,0,1,2,3,0,0,0,0
Law,Physician Assistant,2.5086755790330164,0,1,0,1,8,0,0,3,4,3,2,3,4,1,0,0,0
Education,Geneticist,3.870184755802179,3,2,4,1,2,0,1,0,1,2,2,4,3,1,0,0,0
Computer Science,Geneticist,2.5006980183596994,1,2,4,0,8,0,3,1,2,1,0,3,1,0,0,0,0
Architecture,Physical Chemist,4.858354003309992,8,0,0,1,6,1,3,1,3,4,3,3,1,0,0,0,0
Music,Physicist,3.0884519046134544,5,1,3,0,1,1,0,2,0,2,2,4,2,1,0,0,0
Computer Science,Psychologist,4.341758698127137,9,1,4,1,6,1,4,3,3,2,3,2,3,0,0,0,0
Music,Analytical Chemist,4.155303492922362,8,2,1,1,8,1,3,3,0,2,1,0,4,0,0,0,0
Marketing,AI Researcher,3.3211480293638758,9,0,2,1,8,0,4,1,4,1,1,1,0,0,0,0,0
Business,School Psychologist,2.8400000127518794,1,2,1,1,4,0,1,4,2,3,0,4,2,0,0,0,0
Computer Science,Social Media Manager,3.936863034531653,6,2,2,1,4,1,3,0,1,1,1,0,4,1,0,0,0
Art,Organic Chemist,4.020483917041869,9,1,3,1,5,0,3,4,0,4,0,0,4,1,0,0,0
Physics,Doctor,4.254816761388152,1,1,2,0,5,0,1,0,1,1,0,2,2,1,0,0,0
Finance,Nurse,4.0904640198213045,7,0,3,0,8,0,0,2,2,3,1,3,0,1,0,0,0
Computer Science,Pharmacist,3.886884992396325,9,2,0,1,4,1,0,4,4,4,4,2,0,0,0,0,0
Marketing,Special Education Teacher,3.770226300730683,8,1,0,1,3,1,0,1,3,0,4,4,0,1,0,0,0
Architecture,Physician Assistant,2.7284643987240287,1,2,2,0,2,1,1,3,2,2,4,1,1,0,0,0,0
Engineering,Lawyer,3.158817426523358,4,2,3,0,9,1,1,1,2,0,3,4,1,1,0,0,0
Computer Science,School Psychologist,3.0047298500129864,1,1,3,0,7,1,3,1,4,1,1,4,3,1,0,0,0
Marketing,Organic Chemist,3.55722410862135,5,2,3,1,0,0,2,0,2,1,1,2,0,0,0,0,0
Biology,Counselor,4.656912690310808,1,0,0,0,1,0,2,3,1,4,4,3,4,0,0,0,0
Chemistry,Zoologist,4.82377161604566,6,2,3,1,3,1,0,2,1,0,4,3,1,1,0,0,0
Engineering,Financial Controller,2.770696765030405,2,1,4,0,7,0,3,3,4,3,2,2,1,1,0,0,0
Biology,Electrical Engineer,3.57082393247101,9,0,3,0,7,1,0,4,2,2,2,2,3,0,0,0,0
Education,Quantum Physicist,3.4075412858243093,7,0,4,0,4,0,1,3,3,1,3,1,4,0,0,0,0
Physics,Teacher,3.552411023792174,3,2,3,0,5,1,2,0,3,3,2,4,3,0,0,0,0
Biology,Software Developer,4.78245392003014,2,0,1,0,6,1,0,2,0,4,3,2,1,1,0,0,0
Art,Credit Analyst,4.03514400956125,3,2,0,0,6,0,0,4,0,3,3,4,1,0,0,0,0
Biology,Education Administrator,4.209024504899428,4,0,3,0,4,1,0,0,1,0,0,2,4,1,0,0,0
Music,School Counselor,3.006804733455005,6,1,2,0,3,1,1,2,0,2,4,3,1,1,0,0,0
Law,Financial Analyst,2.774539906208788,7,2,0,0,9,1,3,1,1,4,0,4,1,0,0,0,0
Marketing,Doctor,4.871431026840165,4,2,2,0,2,0,0,1,3,2,3,3,1,1,0,0,0
Art,Urban Planner,3.5581314257421006,3,0,0,1,9,0,4,3,4,4,3,0,3,0,0,0,0
